Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
Continuation of Pension (K.B.O.C.W.W.B),labour department,individual, for registration as a building construction worker  the applicant should be a building construction worker unorganised worker.  the applicant should be a minimum of 18 years of age.  the applicant should have engaged in building and construction work for at least 90 days in a given year.  for the application of the welfare scheme  the beneficiary should be a ed construction worker under the building and other construction workers welfare board of karnataka.  the worker should have paid subscription fees for at least three 3 continuous years.  the worker should remain an active construction worker.  the workers age should be below 60 years.  the worker shall not avail similar benefits under any of the government schemes.,the continuation of pension by the bocw welfare board department of labour karnataka is a welfare scheme that provides a monthly pension to ed construction workers who have paid subscriptions for at least three 3 years.  monthly pension 2000 to eligible ed workers., registration process as a building construction worker  visit the  of karnataka building  other construction workers welfare board kbocwwb and click on .  select  as new construction worker then enter your mobile number as per the aadhaar ed and verify with the received otp.  from the dashboard click on registration.  fill in all the mandatory details and upload the required documents. click on final submit to complete the registration process.  application process of the welfare scheme  visit the  of karnataka building  other construction workers welfare board kbocwwb and click on .  enter your ed mobile number and the received otp.  from the dashboard click on schemes after the user registration is approved the user can access the schemes page.  select the concerned scheme. fill in all the mandatory details and upload the required documents.  review the details and check the declaration box. now click on submit to complete the application process.  renewal process  visit the  of karnataka building  other construction workers welfare board kbocwwb and click on .  enter your ed mobile number and the received otp.  from the dashboard click on renewal. fill in mandatory details and upload the required documents.  review the details and click on submit to complete the renewal process.    renewal every construction worker must renew their registration with the karnataka building and other construction workers welfare board every 3 years. if not renewed within this period a 1year grace period is granted. after that the registration becomes invalid.  helpdesk karnataka building and other construction workers welfare board address karmika bhavan dairy circle bannerghatta road bangalore29. office no 08029753078 email list of district office. list of taluk offices.,"Building Worker, Construction Workers, Labour, Pension"
Danveer Bhamashah Honors- Chhattisgarh,social welfare department,individual ngo ed societies,1. the applicantorganization should be a resident ofestablished in chhattisgarh. 1. there should be a longterm involvement in permanent works of charity patriotism and social service within the state. 1. the past work of the individualorganization should be outstanding and continuously active at present in that area. resultoriented continuity is essential. 1. the contribution of the individualorganization should reflect a wider impact in the respective field of work. it should be clearly reflected to what extent and how intensively innovation i.e. new methods and new areas have been adopted by moving away from the traditional methods. 1. the entry of an organization or individual whose official is a member of that years award jury will not be considered. 1. an organization or individual who has received an award in the field of charity in the last 5 years will also be eligible for this award. 1. the assessment for the award will consider both the past and present work of the individualorganization. 1. governmentsemigovernment institutions or their employees will not be eligible for the honor. 1. only continuous upliftment work free from conflicts and supported by proper evidence will be considered.  if the government or the jury receives the proposal through any other means the decision for the award can be taken after obtaining an opinion from the concerned district as per requirement.  in case the entry received by any organizationperson is not selected the original entry can be returned to the concerned organizationperson through the district administration.  normally only one person or organization will be selected for the award. however if the jury deems it necessary two persons or organizations may be selected and the prize money will be divided equally between them.  not being selected once will not mean that the work of the concerned personorganization is not awardworthy. individualsinstitutions fulfilling the prescribed criteria will be able to submit entries again in subsequent years.,the scheme is implemented by the social welfare department government of chhattisgarh aims to encourage spirit of charity harmony patriotism sacrifice and cultural devotion among all sections of the society in the state.  an award amount of 100000 along with a certificate of appreciation will be granted to the recipient.  the personofficer of the organization selected for the award will be eligible to receive a traveling allowance equivalent to a gradea level officer of the government along with an assistant to attend the function., application procedure  the application should be submitted in the prescribed format to the jointdeputy director social welfare department at the district office with all details.  selection process  on the proposals received from the recommendation of the district collector regarding the continuous action and unquestionable work of the personorganization the award is given to a person or organization by the decision of the state level jury.  address for sending applications  joint directordeputy director social welfare department concerned district.  announcement of award  the jury will submit its decision confidentially to the state government and the state government will formally announce the personorganization selected for the honour.  award distribution ceremony  the award distribution ceremony will be organized by the government at a fixed place and date.,"Award, Bhamashah, Charity, Patriotism, Social Service"
Fasal Pradarshan,agriculture department,individual,1. farmers who can bear the additional cost as per departmental recommendations and need along with the assistance provided under the scheme. 1. the selected demonstration area must have irrigation facilities apart from dryland farming. 1. only one member from a farmers family will be given the opportunity for demonstration. 1. the demonstration will be organized at the block level. 1. the selected seeds fertilizers and other inputs must be used as per the guidelines. 1. a farmer can set up a demonstration plot on a maximum of 1 hectare but it can also be on less than 1 hectare on a prorata basis. 1. in the national food security mission the farmers plot must be at least 0.4 hectares. 1. farmers who have not benefited from crop demonstration programs in the past three years are eligible.,under this scheme the agriculture department organizes field and crop demonstrations to showcase advanced crop production methods and the latest technologies to farmers. demonstration programgrant on performanceoilseed crops kharif season50 percent or maximum of actual expenditure on inputs1. peanuts100002. soybean60003. sesame seeds180004. castor seeds30005. rabi season mustard and flaxseed30006. taramira20907. mustard and beekeeping500  100 percent or maximum of actual expenditure on inputs 1. wheat75002. kharif pulses75003. gram90004. maize50005. barley60006. jowar36707. millet36008. non bt cotton70009. bt cotton380010. guar 6110, the applicant has to visit the sarpanch of gram panchayat and other elected public representatives to collect the application forms for crop demonstration participation.  complete the application forms with accurate details about your farming experience land size crops grown and willingness to adopt new techniques.  submit the filledout application forms to the agriculture supervisor at the designated office or during the scheduled meeting with the sarpanch and other public representatives.  after submitting your application await the selection process. the agriculture supervisor will compile a list of eligible farmers ensuring it is three times more than the target.  once the list is prepared eligible farmers will participate in a lottery selection process conducted in the presence of relevant officials. if chosen you will be notified of your selection for the crop demonstration.,"Agriculture, Crop Display, Farmer, Financial Support"
Distribution of Certified Seeds-Oil Seeds,agriculture department,individual, the beneficiary should be a farmer.  the beneficiary should be a resident of tamil nadu.  the beneficiary should produce and supply foundation and certified class seeds to the department. br,the distribution of certified seedsoil seeds scheme offers subsidies to farmers for purchasing certified oil seeds helping them improve their crop yield and quality.  financial assistance subsidy of 50 of the seed cost or 1200 per quintal whichever is less., collect the application form from the nearest agricultural office.  fill out the application form with the required details and attach mandatory documents selfattested if required.  submit the form to the concerned office  village level submit the application to the assistant agricultural officer.  block level submit to the agricultural officer or deputy agricultural officer.  district level submit to the joint director of agriculture. br,"Agriculture, Farmer, Oil Seeds, Seed Distribution, Subsidy"
Farmers Interest Group (FIG),agriculture department,ed societies joint liability groups jlgs, the beneficiary should be a farmer.  the beneficiary should be a resident of tamil nadu.  the beneficiary should be part of a farmers group of 15 farmers.,the farmers interest group fig scheme supports every group of 15 farmers with grants for agricultural development. the scheme offers assistance for office equipment training id cards and districtlevel meetings.  office equipment 5000 per group for purchasing office equipment technical bulletins and setting up a library.  training and skill acquisition 4000 per group for training and skill acquisition by farmer members.  id cards 400 per group for issuing id cards to members.  districtlevel meetings 20000 per group for conducting districtlevel meetings., collect the application form from the nearest agricultural office.  fill out the application form with the required details and attach mandatory documents selfattested if required.  submit the form to the concerned office  village level submit the application to the assistant agricultural officer.  block level submit to the agricultural officer or deputy agricultural officer.  district level submit to the joint director of agriculture. br,"Agriculture, Farmer, Farmers Interest Group, FIG"
Mukhyamantri Shramshakti Yojana,minority welfare department,individual,1. the applicant should be a permanent resident of bihar. 1. the applicant should belong to a minority community. 1. the applicants age should be between 18 and 45 years. 1. the applicants annual family income should be less than 450000.  minimum educational qualification for most training courses is 8th10th pass. the minimum educational qualification required for various training programs will be determined by the bihar state minorities financial corporation limited depending on the course syllabus.  there is a 30 reservation for women and 3 reservation for disabled.  if the reserved seats for women or disabled persons are not filled they will be allocated to applicants from other minority categories.,this scheme aims to provide employment opportunities to men and women aged 18 to 45 from the minority community by offering vocational skill training in various fields or by providing loans through the bihar state minority financial corporation patna for selfemployment. this scheme offers the following benefits  selfemployment and employment opportunities men and women from minority communities will receive training to enhance their chances of selfemployment and job opportunities.  easy loans for selfemployment candidates can avail loans at simple interest rates through the mukhyamantri alpsankhyak rozgar rinn yojana after completing their training.  training locations training will be provided by selected institutions at district headquarters in locations chosen by these institutions.  free study materials and tool kits trainees will receive study materials and tool kits at no cost from the institutes.  certificates upon successful completion of the training certificates will be awarded by the training institutions.  trainees are responsible for arranging their own accommodation and food. however if the training institution provides residential facilities the fees for accommodation and food as fixed by institutions recognized by the state or central government will be paid directly to the institution by the bihar state minorities financial corporation limited from the schemes funds.  if residential facilities are not available at the training site a stipend of 1500 per month will be provided to trainees through the training institute during their training period.,eligible candidates from minority communities interested in applying for various skill development training programs can submit their applications online via the bihar state minorities financial corporation limiteds website   registration process  visit the    on the homepage click on the apply for skill training link.  a new page will open click on  to apply  if you are a new user click on new registration.  complete the registration form with all required details and click on the  button.  a confirmation message will appear.  down the user id and password displayed on the screen.  apply for scheme  after registration either continue on the same page or return to the website to .  enter your user id and password then click on .  provide your personal details educational qualifications select the trade for training and fill in the training details.  upload your photograph signature and other required documents then submit the application.  selection process  shortlisting of applications received for various skill training programs from different districts of the state will be done by the corporation.  in case of receipt of more applications than the prescribed number of seats in the same training program in the same district preference will be given to applicants with higher qualifications. in case of equal qualification preference will be given to the applicant with older age.  after shortlisting the list and application form will be sent to the district minority welfare office of the concerned district while allotting the district and training program to the shortlisted applicants.  the final selection of the applicants will be done by the selection committee constituted under the chairmanship of the deputy development commissioner of the concerned district.  security deposit  after final selection for the skill training programme at the time of enrolment the selected candidate will have to deposit 1000 as refundable security deposit which will be returned to them after successful completion of the training programme. user manual,"Employment, Minority, Self-Employment, Training, Vocational Courses"
Distribution of Rhizobium,agriculture department,individual, the beneficiary should be a farmer.  the beneficiary should be a resident of tamil nadu.  the beneficiary should raise seed farms with pulses crops.,the distribution of rhizobium scheme offers a subsidy on the cost of rhizobium to farmers raising seed farms with pulses crops in tamil nadu.  quantum of assistance 50 on the cost of rhizobium or 100 per ha. whichever is less., collect the application form from the nearest agricultural office.  fill out the application form with the required details and attach mandatory documents selfattested if required.  submit the form to the concerned office  village level submit the application to the assistant agricultural officer.  block level submit to the agricultural officer or deputy agricultural officer.  district level submit to the joint director of agriculture. br,"Agriculture, Farmer, Rhizobium, Subsidy"
Micro Nutrient Spray,agriculture department,individual, the beneficiary should be a farmer.  the beneficiary should be a resident of tamil nadu. br,the micro nutrient spray scheme provides a 50 subsidy or 70 per hectare to eligible farmers with a focus on ensuring benefits to scst and women farmers.  financial assistance 50 subsidy or 70 per hectare for micronutrient spray. br, collect the application form from the nearest agricultural office.  fill out the application form with the required details and attach mandatory documents selfattested if required.  submit the form to the concerned office  village level submit the application to the assistant agricultural officer.  block level submit to the agricultural officer or deputy agricultural officer.  district level submit to the joint director of agriculture.,"Agriculture, Farmer, Micro Nutrient Spray, Subsidy"
Mukhyamantri Anusuchit Jati Ewam Anusuchit Janjati Civil Sewa Protsahan Yojana,sc  st welfare department,individual,1. the applicant should be a permanent resident of bihar. 1. the applicant should belong to the scheduled caste or scheduled tribe category. 1. the applicant should have passed the preliminary examination of the civil services competitive examination conducted by either the bihar public service commission patna or the union public service commission new delhi. 1. the benefit of this scheme is available to each candidate only once. 1. the applicant should not have received the same incentive from any other sources previously.,the objective of the scheme is to provide financial assistance to sc  st candidates who qualify in the preliminary examination of civil services competitive examination conducted by the bpsc patna and the upsc new delhi to support their preparation for main examinationinterview. under this scheme candidates who pass the preliminary examination of civil services competitive examinations are eligible for the following incentives 1. scheduled caste and scheduled tribe candidates who pass the preliminary examination of the combined competitive examination conducted by the bihar public service commission patna will receive a onetime financial assistance of 50000 for further preparation. 1. scheduled caste and scheduled tribe candidates who pass the preliminary examination of the civil services competitive examination conducted by the union public service commission new delhi will receive a onetime financial assistance of 100000 for further preparation., registration process  visit the departments  to apply under the scheme.  on the homepage select the scheme and click the new registration button if you are a new applicant.  carefully read the guidelines for registration and click continue.  fill out the form by entering your personal details educational qualifications and other required information.  upload your photograph signature and any necessary documents.  ensure all fields marked with an asterisk  are filled in correctly.  once all the required information is entered click the submit button. upon successful submission you will receive a registration id and password.  process to apply for scheme  revisit the departments .  click on the applicant  button.  enter your user id password and the verification code.  click  to access your account and fill out the application form.  verify your entries before submitting the application. no modifications can be made after the final submission.  after verifying your application form click submit to save your application.  you may print the application form as a draft.  an application id will be generated after the final submission.  only the final submission will be considered.  print a copy of the finally submitted application form.,"BPSC, Incentive, Preliminary Examination, Scheduled Caste, Scheduled Tribe, UPSC"
Deen Dayal Swasthya Seva Yojana,health services department,family,1. the applicant must be a resident of the state of goa. 1. the applicant must have resided in goa continuously for a minimum of five years or more.,to facilitate and take the medical services to the next level the state of goa envisaged the present scheme to provide its people with quality medical care and treatment of diseases hospitalization and surgery through government and private hospitals. the benefit under this scheme shall be provided on a cashless basis to the beneficiaries up to the limit of their annual coverage and shall be as under 1. the insurance cover shall be up to 250000 per annum for a family of three or fewer members and up to 400000 for a family of four or more members. under no case the claim would exceed 400000 annually. 1. the insurance benefit can be availed of individually or collectively by members of the family. 1. an individual is free to take higher coverage from the insurance company by paying higher premiums without having any impact on government policy and facilities. 1. the facilities for 447 procedures shall be covered under the scheme., the beneficiary may approach the empanelled health care provider ehcp as per the list provided on the website. after consulting the doctor if the surgery is covered under the scheme and is available at the said ehcp the patient can approach the ddssy sahayak at the hospital with the card and the sahayak will raise a request for preauthorization with the isa preauthorization doctor. or alternatively if the beneficiary is aware of what the procedure is heshe can check the website to find out at which ehcp the required procedure is performed and visit the hospital of hisher choice as per the list of ehcps empaneled for the said procedure.   officer to be contacted sr. no.name  address of the nodal officerdesignationcontact no.1dr. yogesh potdar directorate of health services campal panajimedical management  quality manager0832 extn. 256 74477975822dr. ralph araujo md india health insurance tpa pvt. ltd. bf3 1st floor campal trade centre behind military hospital panajisr. manager93259636913shri. sagar jaiwar goa electronics ltd. ground floor shrama shakti bhavan patto plaza edc complex panajiasst. manager it goa electronics ltd.,"Cashless, Goa, Health Coverage, Insurance"
Scheme for Adolescent Girls- Bihar,social welfare department,individual,1. the beneficiary should be a resident of bihar. 1. the beneficiary should be an adolescent girl aged between 11 and 14 years. 1. the beneficiary should not be currently attending school.,this scheme is implemented in bihar since 2011 through the anganwadi centers under the integrated child development project. under this scheme adolescent girls aged 11 to 14 years who are not attending school receive a monthly takehome ration and skill development training. 1. under this scheme beneficiaries receive a monthly takehome ration thr along with skill development training. 2. the following benefits are provided to beneficiaries under both nutritional and nonnutritional items  nutritional items rice eggs and soybeans are provided as thr to adolescent girls. nutritious items are provided for 25 days each month.  nonnutritional items these include iron folic acid supplements comprehensive health checkups and referral services health and nutrition education reintegration of outofschool adolescent girls into the formal education system or mainstreaming through alternative educationskills development life skills education home management training and counselingguidance for accessing public services., to avail benefits under this scheme beneficiaries should  their names at their nearest anganwadi center.  complaints  grievance redressal  complaints and appeals related to various schemes under this program can be filed with the public grievance redressal officer at the subdivision level the district public grievance redressal officer at the district level and the departmental public grievance redressal officer at the department level. apart from this issues can be ed with the child development project officer at the project level the district program officerdistrict officer at the district level the divisional commissioner at the divisional level and the director icds as well as the additional chief secretaryprincipal secretarysecretary of the social welfare department at the state level. complaints can be submitted in writing or communicated over the telephone.,"Adolescent, Anganwadi, Girl, Nutritional Items, Take-home Ration"
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",social justice department,individual,1. the applicant should be a resident of kerala state. 1. the differently abled students with 40 or more disability are eligible to apply under the scheme. 1. financial assistance will be provided to students falling in above poverty line apl as well as below poverty line bpl categories.,the scheme financial assistance to disabled students pursuing 10th 11th 12th equivalent exams was launched by the department of social justice government of kerala. sl. no.classcoursecourse fee assistanceexam fee assistanceregistration fee assistanceadmission fee assistance1sslc10th class1750500100211th class1950700100200 312th class1950, to avail of the benefits of the scheme the applicant needs to visit the nearest anganwadi centre or district social justice office and collect the application form. the application form can also be downloaded from the  of the social justice department government of kerala.  the applicant needs to fill out the application form completely  the application may be submitted to the district social justice officers dsjos or the concerned anganwadi centre.  the dsjos have to make sure that the applicants have completed their courses and that the certificates issued by state literacy mission have been correctly distributed to the respective applicants in that academic year.  the list of beneficiaries will be prepared based on the applications collected through the anganwadi workers and inquiries by the concerned child development project officers cdpos.,"APL, BPL, Disabled, Financial Assistance, PwD, Student"
ICMR- Post Doctoral Fellowship ,ministry of health  family welfare,individual,1. icmrpdf is open to indian nationals only. 1. fresh phdsmdms within three years of completing their ph.d.mdms degree awarded as on the last date of the application and also those who have received their provisional ph.d.mdms degree can apply. 1. the postdoctoral proposed research work should be the continuation of the ph.d. or mdms research work. if not then the application will not be considered. 1. the maximum age limit is 32 years relaxable up to 5 years in case of scstobcph and women candidates as on the last date of application. 1. for deserving candidates age can be relaxed maximum up to a maximum of 3 years based on earlier work done publications awards etc. along with the request by the sponsoring directordirectorincharge. director general icmr may consider and relax on the recommendation of the screening committee. 1. the pdf guide should have the minimum designation of scientistc grade. 1. postgraduate medical students are also permitted to carry out icmrs pdf in mcirecognized postgraduate medical colleges wherein a minimum of three batches have obtained their postgraduate degrees.  result notificationcertificate or vivavocethesis submitted notification will not be considered.  it is mandatory to submit the plagiarism check report along with the declaration to be submitted to icmr along with the pdf proposal and application.  a list of icmr institutescenters and their niche areasrd activities are available on the icmr website.,icmr post doctoral fellowship icmrpdf scheme is being instituted to foster highquality research opportunities for promising fresh ph.d.mdms holders in the areas of basic science communicable and noncommunicable diseases  reproductive health including nutrition at icmr institutescenters. 1. icmrpdfs will be paid a consolidated fellowship of 65000 per month plus house rent allowance hra as per govt. of india rule and nonpracticing allowance npa as admissible. 1. there is a contingency grant of 300000 per annum. 1. 25 of the contingency grant can be used for travel including per diem expenses only for national travel related to icmrpdf proposed research work only.  fellowship amount will be paid to icmr institutescentres every six months including contingency grant.  accommodation and other benefits 1. accommodation may be provided by icmr institutescenters if available. however in such cases hra will not be paid. 1. icmrpdfs will be entitled to medical benefits and leave as per the icmr rules for jrfresearch associates.,last date of application 30th june and 31st december every year  eligible candidates can visit the  of icmr and download the application form.  fill out the application form completely and sign as required.  no column of the application form should be left blank. kindly write nanil as applicable.  use additional sheets where necessary with relevant columns drawn thereon inserting proper references.  the completed application should be accompanied by all the requisite documents and attach selfattested photocopies of all documents as required.  applications duly filled in the prescribed format and complete in all respects should be sent to director general attention sh. kishor toppo technical officerc division of human resource development indian council of medical research headquarters ansari nagar new delhi110029 email    incomplete applications are liable to be rejected.  applications complete in all respects must reach on or before the closing date as mentioned above.  candidates are advised to contact the directorofficerincharge of icmr institutescenters where they are interested in pursuing their pdf.  applicants can visit the website of the particular icmr institutecenter to know the activities of the institutescenters and their mandates.  applications received without the recommendation of the director officerincharge of the sponsoring icmr institutescenters will not be considered.  mode of selection  the selection of the icmr centenary post doctoral fellows will be made through the interview of shortlisted candidates by a specially constituted selection committee by dg icmr based on their publications citations and impact factors.  the place of the interview will be icmr hqrs. new delhi.  eligible candidates must route their applications through the sponsoring icmr institutes centers. applicants coming from abroad may also be considered in absentia if eligible and found suitable by the committee.,"Fellowship, ICMR, PDF, Post Doctoral, Research"
Tool Kit Grant for Traditional Handicrafts Experts,backward classes development department,individual,1. the applicant should be a permanent resident of the kerala state. 2. the applicant should belong to the state backward communities of kerala state. 3. the applicant should be engaged in traditional craftworkskilled work. 4. the upper age limit of the applicant should be 60 years. 5. the annual family income of the applicant should be 100000.  those having more than two girl children shall get preference.  the differently abled person shall get preference.  those having more than 10 years of experience shall get preference.,the tool kit grant for traditional handicrafts experts scheme is launched for the purpose for improving the productivity and competitiveness of the traditional obc craftsmen ensuring quality goods for enhanced income and thereby qualitative improvement in their living conditions. 1. the training costs stipend if found necessary and tool kit grant together shall be limited to 25000. 2. the training and stipend portion is limited to 5000. 3. the maximum period of training will be three months.  the focus will be on machinery and equipment.  the tools developed by reputed institutions will be encouraged amongst the craftsmen.  the choice of tools and machinery will be based on the occupation.  the beneficiaries can freely select whichever agency to procure equipment.  the grant is for modernization of traditional occupation i.e. for procurement of modern tools and machinery.  the grant should not be used as working capital., the application will be invited through public notification in all the leading news dailies. if it is necessary an advertisement will be published.  the applicants should apply in the prescribed form with all relevant documents and submit it to the regional deputy director.  on receipt of the applications the scrutiny will be carried out at the regional level.  a draft list will be prepared on the basis of certificates and preliminary field inquiries. this will be subjected to further scrutiny by the director bcdd and a final list will be drawn up.  those selected will undergo training in their respective field of work if it is necessary.  the training will be arranged in various localities of the state according to the number of applicants.  those who successfully complete the training or those who already have the competency to adopt the new technology for each work will be selected for a tool kit grant. the choice of tools will be vested with the applicant.  the cash bill for the tools purchased has to be submitted to the department and the department will reimburse the eligible amount to the concerned beneficiaries.  address for applying applicants from trivandrum to ernakulam regional deputy director backward classes development department civil station 2nd floor kakkanad ernakulam 682030 applicants from thrissur to kasargode regional deputy director backward classes development department civil station kozhikide 673020,"Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training"
Snehasanthwanam,social justice department,individual,1. the applicant should be a resident of kerala state. 1. the applicant should be an endosulfan victim.,the government of kerala has launched the snehasanthwanam scheme under the kerala social security mission. the scheme acts as a relief measure for the endosulfan victims in the state of kerala. 1. under the scheme financial assistance of 2200 is given to the bedridden endosulfan victims. 1. financial assistance of 1700 is given to such bedridden endosulfan victims who are getting 300 per month as a disability pension. 1. all other endosulfan victims are given 1200 based on the list furnished by the district collector. 1. in addition to this monthly assistance of 700 is given to the caregivers of endosulfan victims who are fully bedridden or mentally retarded under the special aswasakiranam scheme. 1. educational assistance will be provided to the children of endosulfan affected families as under a children studying in buds school 2000. b children studying in class 1st to 7th 2000. c children studying in class 8th to 10th 3000. d children studying in plus one and plus two 4000.,to avail of the benefits of the scheme the application duly filled out should be submitted to the kasaragod district collector office.  the applicant may also visit kerala social security mission offices or the social justice department in kerala.,"Bedridden, Educational Assistance, Endosulfan, Financial Assistance, Victim"
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)",social welfare department,individual,1. the scholarship shall be open to students belonging to a noncreamy layer of obc of the andaman and nicobar islands listed in the notification issued by the andaman and nicobar administration dated 16th december 2005 and amendments therein. 1. only those students who belong to obcs so specified and notified in relation to andaman and nicobar islands and are domicile of andaman  nicobar islands and who have passed secondary class xsenior secondary class xii from a recognized board of school education and pursuing higher education in a recognized institutionuniversity shall be eligible for award of this scholarship. 1. only two children of the same parentguardian shall be entitled to receive this scholarship. in case 2nd live birth is more than one child they all shall be eligible for the scholarship. 1. the scholarship shall be awarded for pursuing the belowmentioned higher educational and professional courses on a regularfulltime basis and postsecondarysenior secondary level after class x or xii courses in any of the governmentrecognized institutions anywhere in the country such as  all courses leading to a degree of graduation and postgraduation.  m.phil ph.d. and postdoctoral programmes d.litt. d.sc. etc.  postdoctoral research in medicine allopathy indian and other recognized systems of medicines engineering technology planning architecture design fashion design and technology agriculture veterinary and allied sciences management business financeadministration computer scienceapplications etc.  postgraduate diploma courses in various branches of management and medicine commercial pilot license including helicopter pilot and multiengine rating course etc.  c.ai.c.w.a.c.s.i.c.f.a. etc.  graduatepostgraduate courses leading to degree diploma or certificate in areas like pharmacy b.pharm nursing b.nursing llb bfs other paramedical branches like rehabilitation diagnostics etc. mass communication hotel management  catering traveltourismhospitality management interior decoration nutrition  dietetics commercial art financial services etc. e.g. banking insurance taxation etc. for which educational qualification is minimum sr. secondary 102.  post matriculation level nondegree courses for which educational qualification is secondary level classx for vocational stream iti course 3 years diploma courses in polytechnic etc.  students pursuing postgraduate courses in medicine shall be eligible for this scholarship provided they are not allowed to practice during the period of their course.  the scholarship shall be awarded on a yeartoyear basis subject to passing the stageyearsemesters.  a student who fails to complete a particular full course for which heshe had been awarded this scholarship on a yeartoyear basis and joins any other recognized professional or technicalcertificatediploma degree courses may be granted the scholarship but only for the period subsequent to the period to which they have already received the scholarship amount.  if a student fails in a class for more than one year the scholarship for subsequent years will be stopped.  if a student is found to have obtained a scholarship by false statement hisher scholarship shall be cancelled forthwith and the amount of the scholarship paid shall be recovered at the discretion of the sanctioning authority. the student concerned shall be blacklisted and debarred from applying for a scholarship under any scheme of the department of social welfare thereafter.  a scholar is liable to refund the scholarship amount at the direction of the andaman  nicobar administration if during the course of the year the study for which the scholarship has been awarded is discontinued by himher.  renewal of scholarship 1. it will be renewed on a yeartoyear basis provided that within a course which is continuous for a number of years the scholar secures promotion to the next higher class. 1. if a scholar is unable to appear in the annual examination owing to illness and or on account of any other unforeseeable event the award may be renewed for the next academic year on submission of a medical certificate and or other required sufficient proof with the recommendation of the head of the institution. 1. if according to the regulations of a universityinstitution a student is promoted to the next level then heshe will be entitled to a scholarship for the class to which he she is promoted provided the student is otherwise eligible for scholarship.,the objective of the scheme is to provide additional scholarship to the obc students belonging to the noncreamy layer of andaman  nicobar islands for pursuing higher education after secondary xsenior secondary xii in governmentrecognized polytechniciticollegeuniversity anywhere in india.  value of scholarship 1. under this scheme an amount of 1000 per month shall be sanctioned to the eligible students belonging to the obc category.  payment and mode of disbursal of scholarship 1. the scholarship shall be payable for a duration of ten months in an academic session. 1. the scholarship shall be admissible only to the passedout students of the previous academic session. e.g. a student after passing class xiclass xii will be eligible for a scholarship only after heshe completes 1st year of the higher educationprofessional course  1. the scholarship amount shall be directly credited to the aadhaarlinked bank account of the beneficiary by the department of social welfare. 1. the award of a scholarship will depend upon the fund availability in a particular financial year., the students applying for the scholarship for the first time need to  using the icon new registration at the nsp portal url   by providing accurate and correct information as per their documents.  after successfully get registration done students will get their student registration id.  through student registration id students will be able to  into the account using the icon fresh application at nsp portal.  after successful  to the portal the welcome page appeared. on clicking the application form icon students will be directed to the application screen.  now the students may fill out the complete application form and on clicking the final submit button the application is finally submitted.  on successful submission of the application a systemgenerated registration number is sent to the students which can be used for future reference.  the department shall announce the details of the scheme and invite applications in mayjune every year by issuing an advertisement in the leading newspapers of the ut and through other suitable media.,"Higher Study, OBC, Scholarship, Student"
National Family Benefit Scheme - Uttar Pradesh,department of social welfare,family,eligibility 1. to apply for the scheme one must be living under the poverty line. 1. the applicant should not be aged less than 18 years or above 60 years. 1. the family income of the applicant should not be more than rs. 56 450 if the family is from the urban area and rs. 46 080 if the family is from the rural area. 1. support will be provided to the family after the death of the only earner of the family.,national family benefit scheme or nbfs was launched by the uttar pradesh state government to provide financial assistance to those families that are unable to earn the necessities in life.,na,"Financial Assistance, National Family Benefit, Uttar Pradesh"
